,id_hdv,part_rec,party_memb,party_ocup,party_start,party_end
0,0-1-1,1, , , , 
1,0-1-2,1, , , , 
2,0-1-3,1, , , , 
3,0-1-6,1, , , , 
4,0-1-7,1, , , , 
5,0-2-1,1,MOVIMIENTO REGIONAL O DEPARTAMENTAL RENOVACION TUMBESINA ,JEFE DEL EQUIPO TECNICO ,2014 ,2019 
6,0-2-2,1, , , , 
7,0-2-3,1, , , , 
8,0-3-1,1,CONTIGO ,COORDINADOR DE CAPACITACIÓN DE PERUANOS POR EL KAMBIO ,2017 ,2019 
9,0-3-4,1, , , , 
10,0-3-6,1, , , , 
11,0-4-1,1,PARTIDO POLÍTICO UNION POR EL PERU ,COORDINADOR REGIONAL HUANUCO ,2017 ,HASTA LA ACTUALIDAD
12,0-4-2,1, , , , 
13,0-5-1,1, , , , 
14,0-5-2,1,PARTIDO POLÍTICO PERU LIBRE ,COORDINADOR POLÍTICO REGIONAL REGIÓN LA LIBERTAD ,2018 ,HASTA LA ACTUALIDAD
15,0-5-3,1, , , , 
16,0-5-4,1, , , , 
17,0-5-5,1, , , , 
18,0-5-6,1, , , , 
19,0-5-7,1, , , , 
20,0-6-1,1, , , , 
21,0-6-2,1, , , , 
22,0-6-3,1, , , , 
23,0-7-1,1, , , , 
24,0-7-2,1,PARTIDO POLÍTICO FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP ,SECRETARIO GENERAL DEPARTAMENTO DE AREQUIPA ,2011 ,2014 
25,0-7-3,1, , , , 
26,0-7-4,1, , , , 
27,0-7-5,1, , , , 
28,0-7-6,1, , , , 
29,0-8-1,1, , , , 
30,0-8-3,1, , , , 
31,0-8-4,1, , , , 
32,0-8-5,1, , , , 
33,0-9-2,1, , , , 
34,0-10-1,1,MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO REGIONAL FUERZA AMAZONENSE ,PERSONERO LEGAL ,2008 ,2010 
35,0-10-2,1, , , , 
36,0-11-1,1,PARTIDO POLÍTICO PERUANOS POR EL KAMBIO ,SECRETARIO REGIONAL ,2014 ,2015 
