,id_hdv,posi_rec,prev_pos_pres,prev_pos_vice1,prev_pos_vice2,prev_pos_co,prev_pos_par_an,prev_pos_gob,prev_pos_gob_vice,prev_pos_alc_prov,prev_pos_reg_prov,prev_pos_alc_dist,prev_pos_reg_dist,prev_pos_con_reg,prev_pos_acc,prev_pos_reg_cp,prev_pos_dip,prev_pos_sen,prev_pos_alc_cp,prev_org_pol,prev_start,prev_end
0,0-1-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
1,0-1-2,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,ALIANZA ELECTORAL ALIANZA ELECTORAL UNIDAD NACIONAL ,2003 ,2006 
2,0-1-2,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,ALIANZA ELECTORAL ALIANZA ELECTORAL UNIDAD NACIONAL ,2007 ,2010 
3,0-1-3,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,PARTIDO POLÍTICO FUERZA POPULAR ,2016 ,HASTA LA ACTUALIDAD
4,0-1-6,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
5,0-1-7,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
6,0-2-1,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,PARTIDO POLÍTICO PARTIDO APRISTA PERUANO ,1984 ,1985 
7,0-2-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
8,0-2-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
9,0-3-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
10,0-3-4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
11,0-3-6,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
12,0-4-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
13,0-4-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,INDEPENDIENTE ,2011 ,2014 
14,0-5-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
15,0-5-2,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,PARTIDO POLÍTICO FUERZA DEMOCRATICA ,2003 ,2006 
16,0-5-2,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,PARTIDO POLÍTICO FRENTE INDEPENDIENTE MORALIZADOR ,1993 ,1995 
17,0-5-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
18,0-5-4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
19,0-5-5,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
20,0-5-6,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
21,0-5-7,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
22,0-6-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
23,0-6-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
24,0-6-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
25,0-7-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
26,0-7-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
27,0-7-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
28,0-7-4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
29,0-7-5,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
30,0-7-6,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
31,0-8-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
32,0-8-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
33,0-8-4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
34,0-8-5,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
35,0-9-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
36,0-10-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
37,0-10-2,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS ,2011 ,2014 
38,0-11-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
39,0-12-1,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,PARTIDO POLÍTICO FUERZA POPULAR ,2015 ,2018 
40,0-12-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
41,0-13-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
42,0-13-2,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,PARTIDO POLÍTICO DEMOCRACIA DIRECTA ,2015 ,2018 
43,0-13-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
44,0-13-4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
45,0-13-5,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
46,0-14-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
47,0-14-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
48,0-14-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
49,0-15-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
50,0-15-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
51,0-15-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
52,0-15-4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
53,0-15-5,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
54,0-16-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
55,0-16-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
56,0-16-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
57,0-16-4,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU ,2010 ,2014 
58,0-16-4,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,PARTIDO POLÍTICO SOLIDARIDAD NACIONAL ,2015 ,2018 
59,0-16-5,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
60,0-16-6,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
61,0-16-8,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
62,0-16-9,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
63,0-16-11,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
64,0-16-12,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
65,0-16-13,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
66,0-16-14,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
67,0-16-15,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
68,0-16-16,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
69,0-16-18,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
70,0-16-19,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
71,0-16-20,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
72,0-16-21,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
73,0-16-22,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
74,0-16-23,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
75,0-16-24,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
76,0-16-25,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
77,0-16-26,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
78,0-16-27,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,PARTIDO POLÍTICO PARTIDO APRISTA PERUANO ,2007 ,2010 
79,0-16-28,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
80,0-16-29,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
81,0-16-30,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
82,0-16-31,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
83,0-16-32,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
84,0-16-34,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
85,0-16-35,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
86,0-17-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
87,0-17-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
88,0-17-4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
89,0-18-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
90,0-18-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
91,0-18-4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
92,0-18-5,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
93,0-19-1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,PARTIDO POLÍTICO PARTIDO RENACIMIENTO ANDINO ,2003 ,2005 
94,0-19-1,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO REGIONAL INKA PACHAKUTEQ ,2007 ,2010 
95,0-19-3,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,PARTIDO POLÍTICO MOVIMIENTO NUEVA IZQUIERDA ,2003 ,2006 
96,0-19-4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
97,0-19-5,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
98,0-20-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,OTRO ,2015 ,2019 
99,0-20-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
100,0-20-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
101,0-21-1,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,PARTIDO POLÍTICO ACCION POPULAR ,2019 ,HASTA LA ACTUALIDAD
102,0-21-2,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,MOVIMIENTO REGIONAL O DEPARTAMENTAL INTEGRANDO UCAYALI ,2015 ,2018 
103,0-21-3,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,PARTIDO POLÍTICO ACCION POPULAR ,1993 ,1995 
104,0-22-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
105,0-22-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
106,0-22-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
107,0-23-1,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,PARTIDO POLÍTICO PARTIDO APRISTA PERUANO ,2003 ,2006 
108,0-23-1,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,PARTIDO POLÍTICO PARTIDO APRISTA PERUANO ,2015 ,2018 
109,0-23-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
110,0-23-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
111,0-23-4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
112,0-24-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
113,0-24-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
114,0-24-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
115,0-24-4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
116,0-26-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
117,0-26-2,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,PARTIDO POLÍTICO PARTIDO APRISTA PERUANO ,2006 ,2010 
118,0-26-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
119,0-26-4,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,REP. ORG. SOCIALES ,1990 ,1992 
120,0-26-4,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,OTRO ,2015 ,2018 
121,0-26-5,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
122,0-26-6,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
123,0-26-7,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
124,0-27-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
125,0-27-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
126,0-27-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
127,0-27-4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
128,0-27-6,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
129,0-28-1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,PARTIDO POLÍTICO FUERZA POPULAR ,2011 ,2016 
130,0-28-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
131,0-28-3,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,FUERZA 2011 ,2011 ,2016 
132,0-29-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
133,0-29-2,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,PARTIDO POLÍTICO ALIANZA PARA EL PROGRESO ,2016 ,2018 
134,0-29-2,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO POPULAR KALLPA ,2011 ,2014 
135,0-29-3,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,PARTIDO POLÍTICO ALIANZA PARA EL PROGRESO ,2019 ,HASTA LA ACTUALIDAD
136,0-30-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
137,0-30-3,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,PARTIDO POLÍTICO PERU POSIBLE ,2011 ,2014 
