,id_hdv,prop_rec,prop_type,prop_ctry,prop_dep,prop_pro,prop_dis,prop_address,prop_insc,prop_reg_number,prop_tome,prop_value
0,0-1-1,1,TERRENO,PERÚ,PIURA ,PIURA ,CATACAOS ,SECTOR COSCOMBA ,SÍ,11164627 ,11164627 ,65000.00 
1,0-1-1,2,TERRENO,PERÚ,PIURA ,PIURA ,CATACAOS ,ANEXO CATACAOS ,NO, , ,50000.00 
2,0-1-2,1,INMUEBLE,PERÚ,LIMA ,LIMA ,SANTIAGO DE SURCO ,CALLE MONTE ABETO MZ F-1 LT 12 ,NO, , ,288000.00 
3,0-1-2,2,PREDIO,PERÚ,AMAZONAS ,UTCUBAMBA ,BAGUA GRANDE ,QUEBRADA SECA ,SÍ,0204722 ,1833 ,78000.00 
4,0-1-3,1,INMUEBLE,PERÚ,PIURA ,PIURA ,PIURA ,CIENEGUILLO SUR P2-188 ,SÍ,04109386 ,04109386 ,55037.15 
5,0-1-3,2,DEPARTAMENTO,PERÚ,LIMA ,LIMA ,MIRAFLORES ,JOSE GALVEZ 651 ,SÍ,12112014 ,12112014 ,104282.27 
6,0-1-6,1,TERRENO,PERÚ,PIURA ,PIURA ,PIURA ,URB. TREBOL MZ- B LT 3 ,NO, , ,20000.00 
7,0-1-7,1, , , , , , , , , , 
8,0-2-1,1,INMUEBLE,PERÚ,TUMBES ,TUMBES ,CORRALES ,JR. GRAU 104 ,SÍ,03004277 ,4631 ,243515.06 
9,0-2-2,1, , , , , , , , , , 
10,0-2-3,1, , , , , , , , , , 
11,0-3-1,1, , , , , , , , , , 
12,0-3-4,1, , , , , , , , , , 
13,0-3-6,1, , , , , , , , , , 
14,0-4-1,1, , , , , , , , , , 
15,0-4-2,1, , , , , , , , , , 
16,0-5-1,1,PREDIOS,PERÚ,LA LIBERTAD ,TRUJILLO ,TRUJILLO ,ZEPITA 672-674-678- 680 ,SÍ,11349673 ,1 ,61868.14 
17,0-5-1,2,PRECIO,PERÚ,LA LIBERTAD ,TRUJILLO ,VICTOR LARCO HERRERA ,CALLE RICARDO PALMA 365 BUENOS AIRES ,SÍ,03062777 ,1 ,15000.00 
18,0-5-2,1, , , , , , , , , , 
19,0-5-3,1, , , , , , , , , , 
20,0-5-4,1, , , , , , , , , , 
21,0-5-5,1,VIVIENDA,PERÚ,LA LIBERTAD ,TRUJILLO ,FLORENCIA DE MORA ,ALFONSO UGARTE 582 ,NO, , ,80000.00 
22,0-5-6,1, , , , , , , , , , 
23,0-5-7,1,DEPARTAMENTO,PERÚ,LA LIBERTAD ,TRUJILLO ,TRUJILLO ,LISBOA 455 DPTO 103 ,SÍ,1 ,II ,68597.31 
24,0-6-1,1, , , , , , , , , , 
25,0-6-2,1, , , , , , , , , , 
26,0-6-3,1, , , , , , , , , , 
27,0-7-1,1, , , , , , , , , , 
28,0-7-2,1,CASA,PERÚ,AREQUIPA ,AREQUIPA ,ALTO SELVA ALEGRE ,VILLA INDEPENDIENTE COMITÉ 4 MZ N LT 10 ZONA A ,SÍ,P06002228 ,. ,9000.00 
29,0-7-3,1, , , , , , , , , , 
30,0-7-4,1, , , , , , , , , , 
31,0-7-5,1, , , , , , , , , , 
32,0-7-6,1,CASA,PERÚ,AREQUIPA ,CONDESUYOS ,CHUQUIBAMBA ,MZ C LT 16 AA-HH LOS ERRANTES ,SÍ,P06161227 ,P06161227 ,0.00 
33,0-8-1,1,INMUEBLE,PERÚ,ANCASH ,SANTA ,CHIMBOTE ,URB. ANTUNEZ DE MAYOLO MZ B LT 21 ,SÍ,11000894 ,- ,68000.00 
34,0-8-3,1, , , , , , , , , , 
35,0-8-4,1, , , , , , , , , , 
36,0-8-5,1,INMUEBLE,PERÚ,LIMA ,BARRANCA ,BARRANCA ,S/N ,NO, , ,5000.00 
37,0-9-2,1,CASA,PERÚ,MADRE DE DIOS ,TAMBOPATA ,LAS PIEDRAS ,PASAJE AMARUMAYO MZ C4 LOTE 10 AAHH EL TRIUNFO ,NO, , ,60000.00 
38,0-10-1,1,CASA,PERÚ,AMAZONAS ,BAGUA ,BAGUA ,JIRON 29 AGOSTO CUADRA 3 ,NO, , ,35000.00 
39,0-10-1,2,CASA,PERÚ,AMAZONAS ,BAGUA ,BAGUA ,JIRÓN CUZCO N° 497 ,NO, , ,32000.00 
40,0-10-1,3,TERRENO,PERÚ,AMAZONAS ,BAGUA ,BAGUA ,CARRETERA BAGUA -EL MUYO ,NO, , ,65000.00 
41,0-10-2,1,TERRENO,PERÚ,AMAZONAS ,CONDORCANQUI ,RIO SANTIAGO ,COMUNIDAD DE ZAPISA ,NO, , ,100000.00 
42,0-11-1,1,DEPARTAMENTO,PERÚ,LIMA ,LIMA ,BREÑA ,GENERAL VARELA 1768-704 ,SÍ,13237205 ,- ,167.00 
43,0-11-1,2,TERRENO,PERÚ,UCAYALI ,CORONEL PORTILLO ,YARINACOCHA ,AA.HH LAS BRISAS ,SÍ,11058296 ,11058296 ,67.00 
44,0-12-1,1, , , , , , , , , , 
45,0-12-3,1, , , , , , , , , , 
46,0-13-1,1, , , , , , , , , , 
47,0-13-2,1, , , , , , , , , , 
