,id_hdv,univ_rec,univ_name,has_univ_complete,univ_career,univ_gradute,univ_bachelorette,univ_year,univ_title,univ_title_year
0,0-1-1,1,UNIVERSIDAD DE PIURA ,SÍ,ADMINISTRACION DE EMPRESAS ,SÍ,SÍ,1993 ,SÍ,2018 
1,0-1-2,1,UNIVERSIDAD FEDERICO VILLAREAL ,SÍ,INGENIERIA INDUSTRIAL Y SISTEMAS ,SÍ,SÍ,2018 ,NO, 
2,0-1-3,1,UNIVERSIDAD DE LIMA ,SÍ,DERECHO Y CIENCIAS POLITICAS ,SÍ,SÍ,1998 ,SÍ,1998 
3,0-1-6,1, , , , , , , , 
4,0-1-7,1, , , , , , , , 
5,0-2-1,1,UNIVERSIDAD NACIONAL AGRARIA LA MOLINA ,SÍ,INGENIERÍA AGRÍCOLA ,SÍ,SÍ,1982 ,SÍ,1988 
6,0-2-2,1,UNIVERSIDAD CESAR VALLEJO ,SÍ,PSICOLOGIA ,SÍ,SÍ,2003 , , 
7,0-2-3,1,UNIVERSIDAD NACIONAL DE TUMBES ,SÍ,CONTABILIDAD ,SÍ,SÍ,2013 ,NO, 
8,0-3-1,1,JOSE CARLOS MARIATEGUI ,SÍ,CIENCIAS JURÍDICAS EMPRESARIALES Y PEDAGÓGICAS ABOGADO ,SÍ,SÍ,2014 ,SÍ,2014 
9,0-3-4,1,UNIVERSIDAD INCA GARCILASO DE LA VEGA ,NO,DERECHO ,NO,NO, ,NO, 
10,0-3-4,2,UNIVERSIDAD TECNOLÓGICA DEL PERÚ ,NO,INGENIERIA DE SISTEMAS ,NO,NO, ,NO, 
11,0-3-6,1,UNIVERSIDAD NACIONAL DE SAN AGUSTIN ,SÍ,SOCIOLOGO ,SÍ,SÍ,2012 ,SÍ,2015 
12,0-4-1,1,UNIVERSIDAD NACIONAL HERMILIO VALDIZAN ,SÍ,LICENCIADA EN ADMINISTRACION ,SÍ,SÍ,1989 ,SÍ,1990 
13,0-4-2,1, , , , , , , , 
14,0-5-1,1,UNIVERSIDAD PRIVADA CESAR CESAR VALLEJO ,SÍ,DERECHO ,SÍ,SÍ,2011 ,SÍ,2011 
15,0-5-1,2,UNIVERSIDAD SEÑOR DE SIPAN ,SÍ,CONTABILIDAD ,SÍ,SÍ,2006 ,SÍ,2006 
16,0-5-2,1,INCA GARCILAZO DE LA VEGA ,NO,DERECHO ,NO,NO, ,NO, 
17,0-5-2,2,CESAR VALLEJO ,SÍ,EDUCACIÓN ,SÍ,SÍ,2005 ,NO, 
18,0-5-3,1, , , , , , , , 
19,0-5-4,1,UNIVERSIDAD PRIVADA ANTENOR ORREGO ,SÍ,MEDICINA HUMANA ,SÍ,SÍ,2016 ,SÍ,2016 
20,0-5-5,1,UNIVERSIDAD NACIONAL DE TRUJILLO ,SÍ,BIOLOGIA PESQUERA ,SÍ,SÍ,1997 ,NO, 
21,0-5-6,1, , , , , , , , 
22,0-5-7,1,UNIVERSIDAD NACIONAL DE TRUJILLO ,SÍ,CONTABILIDAD Y FINANZAS ,SÍ,SÍ,2000 ,SÍ,2008 
23,0-6-1,1,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS ,SÍ,MEDICINA HUMANA ,SÍ,SÍ, ,SÍ,1989 
24,0-6-2,1, , , , , , , , 
25,0-6-3,1, , , , , , , , 
26,0-7-1,1,UNIVERSIDAD CONTINENTAL ,NO,INGENIERÍA INDUSTRIAL ,NO,NO, ,NO, 
27,0-7-2,1, , , , , , , , 
28,0-7-3,1,UNIVERSIDAD CATOLICA SANTA MARIA ,SÍ,MEDICINA VETERINARIO Y ZOOTECNIA ,SÍ,SÍ,2018 , , 
29,0-7-4,1, , , , , , , , 
30,0-7-5,1, , , , , , , , 
31,0-7-6,1, , , , , , , , 
32,0-8-1,1,UNIVERSIDAD LOS ANGELES DE CHIMBOTE (ULADECH) ,SÍ, ,SÍ,SÍ,1997 ,SÍ,1998 
33,0-8-3,1,UNIVERSIDAD NACIONAL DE TRUJILLO ,SÍ,DERECHO ,SÍ,SÍ,1999 ,SÍ,2002 
34,0-8-4,1,UNIVERSIDAD CATOLICA LOS ANGELES DE CHIMBOTE ,NO,DERECHO , , , , , 
35,0-8-4,2,UNIVERSIDAD CATOLICA DE TRUJILLO ,NO,EDUCACIÓN- CIENCIA Y TECNOLOGIA , , , , , 
36,0-8-5,1,UNIVERSIDAD LOS ANGELES DE CHIMBOTE ,NO,INGENIERÍA CIVIL , , , , , 
37,0-9-2,1,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS ,SÍ,ADMINISTRADOR DE EMPRESAS ,SÍ,SÍ,2007 ,SÍ,2008 
