,id_hdv,vehi_rec,veh_type,veh_brand,veh_model,veh_year,veh_reg,veh_char,veh_val
0,0-1-1,1,AUTO ,MERCEDES BENZ ,230-E ,1990 ,B5R176 ,SEDAN NEGRO ,10000.00 
1,0-1-2,1, , , , , , , 
2,0-1-3,1,AUTO ,KIA ,CERATO ,2016 ,AYP527 ,SEDAN PLOMO ,53566.50 
3,0-1-6,1,AUTO ,RENAULT ,LOGAN ,2008 ,P1V381 ,SEDAN ,15000.00 
4,0-1-7,1, , , , , , , 
5,0-2-1,1,AUTOMOVIL ,TOYOTA ,YARIS ,2012 ,P1Q409 ,GRIS OSCURO METALICO ,50000.00 
6,0-2-1,2,STATION WAGON ,TOYOTA ,CARINA ,1990 ,SA1126 ,COLOR VERDE ,15000.00 
7,0-2-2,1,TRIMOTO ,MAVILA ,CARGUERO - FURGON ,2018 ,2526CP ,COLOR AZUL ,12000.00 
8,0-2-2,2,CAMION ,ISUZU ,CARGUERO ,2005 ,WA1559 ,COLOR AZUL ELÉCTRICO CON CELESTE ,45000.00 
9,0-2-3,1,AUTO ,TOYOTA ,YARIS ,2016 ,T3X538 ,NERGRO MICA ,50000.00 
10,0-2-3,2,AUTO ,MITSUBISHI ,MIRAGE DINGO ,2003 ,B30619 ,AZUL ,20000.00 
11,0-3-1,1, , , , , , , 
12,0-3-4,1, , , , , , , 
13,0-3-6,1, , , , , , , 
14,0-4-1,1, , , , , , , 
15,0-4-2,1, , , , , , , 
16,0-5-1,1,AUTOMOVIL ,DAEWOOD ,TICO ,1994 ,C6C175 ,AMARILLO CON TECHO NEGRO ,1500.00 
17,0-5-2,1, , , , , , , 
18,0-5-3,1, , , , , , , 
19,0-5-4,1, , , , , , , 
20,0-5-5,1,AUTOMOVIL ,NISSAN ,SENTRA ,2015 ,AEU - 427 ,NEGRO ,36300.00 
21,0-5-5,2,AUTOMOVIL ,TOYOTA ,YARIS ,2015 ,AMK - 161 ,PLATEADO ,46200.00 
22,0-5-6,1, , , , , , , 
23,0-5-7,1,AUTOMOVIL ,SUZUKI ,CELERIO ,2015 ,T3Y-355 ,COLOR PLATA ,16000.00 
24,0-6-1,1, , , , , , , 
25,0-6-2,1, , , , , , , 
26,0-6-3,1,AUTOMOVIL ,TOYOTA ,TERCEL ,1996 ,P1P089 ,COLOR ROJO ,8000.00 
27,0-7-1,1, , , , , , ,
28,0-7-2,1, , , , , , , 
29,0-7-3,1,MOTOCICLETA ,SUMO ,GOL 150 ,2008 ,V10165 ,BLANCO ,3500.00 
30,0-7-4,1, , , , , , , 
31,0-7-5,1, , , , , , , 
32,0-7-6,1, , , , , , , 
33,0-8-1,1, , , , , , , 
34,0-8-3,1, , , , , , , 
35,0-8-4,1, , , , , , , 
36,0-8-5,1, , , , , , , 
37,0-9-2,1,MOTOCICLETA ,HONDA ,CGL 125 ,2009 ,MV23879 ,NEGRO ,3000.00 
38,0-9-2,2,MOTOCICLETA ,BAJAJ ,PLATINA 125 ,2005 ,X34458 ,NEGRO ,2000.00 
39,0-9-2,3,MOTOCICLETA ,HONDA ,CGL 125 ,2004 ,MV13450 ,AZUL ,2000.00 
40,0-9-2,4,MOTOCICLETA ,CYC MOTORS ,CYC 125 GY ,2008 ,MX49152 ,AZUL ,2000.00 
41,0-9-2,5,AUTOMOVIL ,HYUNDAI ,GRAND I10 ,2018 ,X4K598 ,GRIS OSCURO ,42000.00 
42,0-10-1,1,MOTO ,HONDA ,CBF150MC ,2015 ,K18683 ,NEGRO ,3800.00 
43,0-10-1,2,MOTO ,CROSS ,AM150FARMER ,2015 ,2929EM ,ROJO ,3400.00 
44,0-10-1,3,MOTO ,CROSS ,AM150TSPEED ,2016 ,2427EM ,AMARILLO ,3400.00 
45,0-10-1,4,MOTO ,CROSS ,AM150FARMER ,2016 ,2025EM ,ROJO ,3400.00 
46,0-10-1,5,MOTO ,MOTOKAR ,MC125ST ,2017 ,1666DM ,ROJO ,4800.00 
47,0-10-1,6,MOTO ,HONDA ,CG125 ,2017 ,NC34042 ,ROJO ,3800.00 
48,0-10-2,1, , , , , , , 
