,id_hdv,work_rec,workplace,ocup,ruc,Address,start_year,end_year,cntr_wp,dept_wp,prov_wp,dist_wp
0,0-1-1,1,INVERSIONES MASACOR EIRL. ,ADMINISTRADOR , ,AV. PANAMERICANA 191 URB. SANTA ISABEL ,2015,HASTA LA ACTUALIDAD,PERÚ ,PIURA ,PIURA ,PIURA 
1,0-1-1,2,INSTITUCIÓN EDUCATIVA PRIVADA DEL NORTE ,DIRECTOR Y GERENTE DEL COLEGIO , ,AV. PANAMERICANA 286-URB. SANTA ROSA ,2003,2013,PERÚ ,PIURA ,SULLANA ,SULLANA 
2,0-1-2,1,INVERSIONES MIKELA SAC ,ASESOR Y CONSULTOR EXTERNO , ,AV.JAVIER PRADO ESTE 1155 ,2015,2018,PERÚ ,LIMA ,LIMA ,LA VICTORIA 
3,0-1-3,1,ESTUDIO DE ABOGADOS ZAMBRANO ,ABOGADO , ,SAN MARTIN 936 ,1998,2019,PERÚ ,PIURA ,SULLANA ,SULLANA 
4,0-1-6,1,CORTINAS MUEBLES Y DECORACIONES PIURA SRL ,GERENTE PROPIETARIO ,20604431485,LIBERTAD 455 ,2019,HASTA LA ACTUALIDAD,PERÚ ,PIURA ,PIURA ,PIURA 
5,0-1-7,1,JARDIN REAL ,AUXILIAR DE EDUCACION , ,AV SANCHEZ CERRO 2117 URB. BANCARIA ,1998,HASTA LA ACTUALIDAD,PERÚ ,PIURA ,PIURA ,PIURA 
6,0-2-1,1,UNIVERSIDAD NACIONAL DE TUMBES ,PROFESOR PRINCIPAL TC ,20177689051,AV. UNIVERSITARIA S/N - PAMPA GRANDE ,1981,2019,PERÚ ,TUMBES ,TUMBES ,TUMBES 
7,0-2-1,2,MUNICIPALIDAD PROVINCIAL DE TUMBES ,ASESOR DEL DESPACHO DE ALCALDÍA ,20156696596,CALLE BOLOGNESI 124 ,2019,2019,PERÚ ,TUMBES ,TUMBES ,TUMBES 
8,0-2-1,3,COMISIÓN DE USUARIOS DEL SUB SECTOR HIDRÁULICO MARGEN IZQUIERDA ,ASESOR ,20202052968,PASAJE ISABEL SALINAS M-I L-15 - CORRALES ,2019,HASTA LA ACTUALIDAD,PERÚ ,TUMBES ,TUMBES ,CORRALES 
9,0-2-2,1,UNIVERSIDAD CESAR VALLEJO ,PROLONGACIÓN CHULUCANAS ,20164113532,CALLE HUASCAR 308 TUMBES ,2013,2019,PERÚ ,PIURA ,PIURA ,VEINTISEIS DE OCTUBRE 
10,0-2-3,1,TIKIS RESTAURANT ,PROPIETARIO , ,CALLE MALECON BENAVIDES N1036 ,2014,HASTA LA ACTUALIDAD,PERÚ ,TUMBES ,TUMBES ,TUMBES 
11,0-3-1,1,COFOPRI ,JEFE DE OFICINA ZONAL AREQUIPA , ,BOLIVAR 313 ,2017,2018,PERÚ ,AREQUIPA ,AREQUIPA ,AREQUIPA 
12,0-3-4,1,ESTUDIO JURIDICO SARAZA Y ASOCIADOS ,PRACTICANTE DE DERECHO , ,CALLE SAN JOSÉ 311 OFICINA 112 ,2018,HASTA LA ACTUALIDAD,PERÚ ,AREQUIPA ,AREQUIPA ,AREQUIPA 
13,0-3-4,2,TECNICO INDEPENDIENTE ,SERVICIO TECNICO , ,"URBANIZACIÓN 12 DE OCTUBRE, MANZANA F, LOTE, 34 ",2018,2018,PERÚ ,AREQUIPA ,AREQUIPA ,CERRO COLORADO 
14,0-3-4,3,CELPLAN DE PERÚ ,TÉCNICO TORRERO , ,AVENIDA RICARDO RIVERA NAVARRETE 2729 ,2017,2017,PERÚ ,LIMA ,LIMA ,LINCE 
15,0-3-4,4,LAPWORLD ,PRACTICANTE SOPORTE TECNICO , ,AVENIDA INCA GARCILASO DE LA VEGA 1251 INTERIOR 266 ,2015,2016,PERÚ ,LIMA ,LIMA ,LIMA 
16,0-3-4,5,"EJERCITO DEL PERU, CUARTEL MILITAR ARIAS ARAGUEZ ","TROPA, SERVICIO MILITAR VOLUNTARIO ", ,AVENIDA ALFONSO UGARTE S/N ,2012,2013,PERÚ ,AREQUIPA ,AREQUIPA ,JACOBO HUNTER 
17,0-3-6,1,AUTODEMA ,COORDINADOR DE RELACIONES COMUNITARIAS DEL PROYECTO MAJES SIGUAS II ETAPA (ORDEN DE SERVICIO- CONSU) , ,URB LA MARINA E-8 ,2019,2019,PERÚ ,AREQUIPA ,AREQUIPA ,CAYMA 
