ubigeo,mujer,no_seguro_salud,discapacitados,lengua_originaria,sin_nivel_educ,primaria,secundaria,superior_nouniv_incom,superior_nouniv_com,superior_univ_incom,superior_univ_com,posgrado,relig_catolica,relig_ninguna,relig_cristiana,edad_0_17_porc,edad_18_35_porc,edad_36_60_porc,edad_60_mas_porc,viv_agua_porc,viv_elec_proc,viv_desag_proc,nombredd,nombrepv,nombredi,D_pobreza,D_pobrezaex,D_gini,D_pob_crim,paltitud1,paltitud2,paltitud3,paltitud4,paltitud5,paltitud6,paltitud7,paltitud8,paltitud9,altitud,dept,prov,dist
10101,52.162071,18.19854,9.8850288,5.4889588,3.7385082,24.031509,27.871902,3.5135918,9.8962498,6.6632872,12.51121,1.9778696,65.014778,3.3608623,12.152522,0.30194241,0.29104909,0.2591058,0.10927,68.791389,70.333199,64.973099,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12.3,1.4,0.30000001,94,0,0,0,1,0,0,0,0,0,2590,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS
10102,48.501339,4.6243391,25.08017,5.0008736,14.514454,41.076305,23.707064,1.5893065,8.2730112,1.919229,2.7120755,1.2021717,69.95562,0.38593969,10.592402,0.2709924,0.1679389,0.3282443,0.2137405,70.212769,60.283691,55.319149,AMAZONAS,CHACHAPOYAS,ASUNCION,51.299999,15.7,0.40000001,3,0,0,0,1,0,0,0,0,0,2783,AMAZONAS,CHACHAPOYAS,ASUNCION
10103,47.14278,18.28895,9.0186501,6.3109684,10.842705,49.289169,22.599277,0.17433579,3.1810122,0.78148198,1.6587708,0.081102997,51.51585,2.681674,19.58979,0.3653169,0.209507,0.28080979,0.1205986,36.025848,38.933762,17.932148,AMAZONAS,CHACHAPOYAS,BALSAS,42.599998,15.4,0.40000001,2,0,0,0,0,0,0,0,1,0,3033,AMAZONAS,CHACHAPOYAS,BALSAS
10104,50.252392,11.05498,18.115761,4.9092493,5.1327105,54.791763,23.388559,1.0919756,1.25652,2.2382858,2.5136759,0.4639228,41.614346,6.2827506,32.1478,0.32710281,0.1993769,0.29750779,0.15420561,55.192879,55.192879,52.225521,AMAZONAS,CHACHAPOYAS,CHETO,60,23.700001,0.30000001,1,0,0,1,0,0,0,0,0,0,2776,AMAZONAS,CHACHAPOYAS,CHETO
10105,47.754391,5.2839952,7.3918471,4.9769983,10.378266,60.853062,13.343315,1.3517647,0.84940088,0.52834618,1.0448133,0.1797116,55.312061,0.86105639,22.306086,0.26837611,0.23418801,0.2923077,0.1794872,52.922077,43.506489,27.597403,AMAZONAS,CHACHAPOYAS,CHILIQUIN,74.699997,36.400002,0.30000001,1,0,0,0,1,0,0,0,0,0,3226,AMAZONAS,CHACHAPOYAS,CHILIQUIN
10106,48.25042,9.6976919,6.0974679,5.6952953,11.553913,46.050159,26.913872,0.89657789,3.91502,0.61430401,1.9606581,0.058817308,52.487667,3.308645,18.233675,0.38629979,0.1880966,0.26052779,0.1375632,39.215687,28.83506,19.377163,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,74.900002,43.799999,0.40000001,2,0,0,0,1,0,0,0,0,0,4012,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA
10107,49.967941,13.58501,10.58888,6.723587,8.0951757,53.216869,22.841141,1.8854234,1.8045409,0.63526058,0.40842339,1.0411063,44.752758,3.1318591,29.416025,0.32916671,0.2041667,0.31666669,0.12916671,64.628822,63.318779,37.991268,AMAZONAS,CHACHAPOYAS,GRANADA,31.700001,5.9000001,0.30000001,2,0,0,0,1,0,0,0,0,0,3291,AMAZONAS,CHACHAPOYAS,GRANADA
10108,21.54002,24.32913,16.333759,2.3155124,4.0876617,42.403576,39.763397,1.4485857,3.7409375,1.9133903,2.8156028,0.1586132,65.806641,5.0372033,22.902628,0.086645499,0.3966614,0.41096979,0.089030199,47.44186,40,40.930233,AMAZONAS,CHACHAPOYAS,HUANCAS,49.299999,12.5,0.30000001,6,0,0,0,1,0,0,0,0,0,2578,AMAZONAS,CHACHAPOYAS,HUANCAS
10109,50.651958,7.3560028,9.1145754,8.1501265,8.7894716,48.148888,25.548159,1.0495408,2.3404171,0.70307213,0.98528129,0.025344839,47.761948,4.3629994,21.701714,0.39240831,0.22926091,0.23303171,0.1091001,34.928894,32.917099,22.372528,AMAZONAS,CHACHAPOYAS,LA JALCA,69.599998,28.4,0.30000001,11,0,0,0,1,0,0,0,0,0,3157,AMAZONAS,CHACHAPOYAS,LA JALCA
10110,48.759369,13.81157,8.9884949,4.8425617,11.215684,40.335178,24.702042,2.6667411,5.8724666,1.1060081,3.6006122,0.48399955,53.693989,4.7155571,18.831478,0.36381209,0.1930939,0.2698895,0.1502762,50.534443,44.655579,41.15202,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,42.799999,15.2,0.40000001,2,0,0,1,0,0,0,0,0,0,3950,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA
